date,30_yr,15_yr
2/4/1971,7.33,
9/4/1971,7.31,
16/4/1971,7.31,
23/4/1971,7.31,
30/4/1971,7.29,
7/5/1971,7.38,
14/5/1971,7.42,
21/5/1971,7.44,
28/5/1971,7.46,
4/6/1971,7.52,
11/6/1971,7.52,
18/6/1971,7.54,
25/6/1971,7.54,
2/7/1971,7.54,
9/7/1971,7.54,
16/7/1971,7.6,
23/7/1971,7.65,
30/7/1971,7.69,
6/8/1971,7.66,
13/8/1971,7.73,
20/8/1971,7.71,
27/8/1971,7.69,
3/9/1971,7.71,
10/9/1971,7.67,
17/9/1971,7.7,
24/9/1971,7.67,
1/10/1971,7.67,
8/10/1971,7.63,
15/10/1971,7.63,
22/10/1971,7.58,
29/10/1971,7.63,
5/11/1971,7.59,
12/11/1971,7.56,
19/11/1971,7.54,
26/11/1971,7.51,
3/12/1971,7.49,
10/12/1971,7.47,
17/12/1971,7.48,
24/12/1971,7.48,
31/12/1971,7.48,
7/1/1972,7.46,
14/1/1972,7.46,
21/1/1972,7.43,
28/1/1972,7.4,
4/2/1972,7.35,
11/2/1972,7.33,
18/2/1972,7.31,
25/2/1972,7.31,
3/3/1972,7.32,
10/3/1972,7.32,
17/3/1972,7.31,
24/3/1972,7.31,
31/3/1972,7.23,
7/4/1972,7.25,
14/4/1972,7.29,
21/4/1972,7.29,
28/4/1972,7.33,
5/5/1972,7.33,
12/5/1972,7.38,
19/5/1972,7.38,
26/5/1972,7.4,
2/6/1972,7.36,
9/6/1972,7.38,
16/6/1972,7.38,
23/6/1972,7.36,
30/6/1972,7.38,
7/7/1972,7.38,
14/7/1972,7.4,
21/7/1972,7.4,
28/7/1972,7.4,
4/8/1972,7.35,
11/8/1972,7.41,
18/8/1972,7.42,
25/8/1972,7.42,
1/9/1972,7.42,
8/9/1972,7.42,
15/9/1972,7.42,
22/9/1972,7.41,
29/9/1972,7.43,
6/10/1972,7.41,
13/10/1972,7.41,
20/10/1972,7.44,
27/10/1972,7.42,
3/11/1972,7.43,
10/11/1972,7.42,
17/11/1972,7.42,
24/11/1972,7.44,
1/12/1972,7.45,
8/12/1972,7.43,
15/12/1972,7.43,
22/12/1972,7.45,
29/12/1972,7.45,
5/1/1973,7.44,
12/1/1973,7.44,
19/1/1973,7.44,
26/1/1973,7.43,
2/2/1973,7.43,
9/2/1973,7.43,
16/2/1973,7.45,
23/2/1973,7.45,
2/3/1973,7.45,
9/3/1973,7.45,
16/3/1973,7.45,
23/3/1973,7.45,
30/3/1973,7.49,
6/4/1973,7.51,
13/4/1973,7.54,
20/4/1973,7.56,
27/4/1973,7.56,
4/5/1973,7.58,
11/5/1973,7.64,
18/5/1973,7.69,
24/5/1973,7.7,
1/6/1973,7.7,
8/6/1973,7.73,
15/6/1973,7.73,
22/6/1973,7.75,
29/6/1973,7.76,
6/7/1973,7.89,
13/7/1973,8.01,
20/7/1973,8.12,
27/7/1973,8.18,
3/8/1973,8.26,
10/8/1973,8.4,
17/8/1973,8.55,
